Pos.,País,nombre,constructor,Puntos
1,Italia,Francesco Bagnaia,Ducati,502
2,España,Jorge Martín,Ducati,378
3,Italia,Marco Bezzecchi,Ducati,366
4,Sudáfrica,Brad Binder,KTM,320
5,Francia,Johann Zarco,Ducati,250
6,Italia,Luca Marini,Ducati,240
7,España,Aleix Espargaró,Aprilia,234
8,Australia,Jack Miller,KTM,192
9,España,Álex Márquez,Ducati,184
10,España,Maverick Viñales,Aprilia,172
11,Francia,Fabio Quartararo,Yamaha,146
12,Italia,Franco Morbidelli,Yamaha,130
13,España,Augusto Fernández,KTM,102
14,España,Alex Rins,Honda,94
15,Portugal,Miguel Oliveira,Aprilia,80
16,Italia,Fabio Di Giannantonio,Ducati,74
17,Japón,Takaaki Nakagami,Honda,68
18,Italia,Enea Bastianini,Ducati,48
19,España,Marc Márquez,Honda,38
20,España,Raúl Fernández,Aprilia,28
21,España,Dani Pedrosa,KTM,26
22,Italia,Lorenzo Savadori,Aprilia,18
23,Alemania,Jonas Folger,KTM,18
24,España,Pol Espargaró,KTM,16
25,España,Joan Mir,Honda,10
26,Italia,Michele Pirro,Ducati,10
27,Italia,Danilo Petrucci,Ducati,10
28,Alemania,Stefan Bradl,Honda,10
29,España,Iker Lecuona Gascón,Honda,0
