date,n_intervention,name,reduced_regex_text
2019-07-22,1,,Listas de valores
2019-07-22,2,,Cerrar
2019-07-22,3,,"DS. Congreso de los Diputados, Pleno y Dip. Perm., núm. 2, de 22/07/2019"
2019-07-22,4,,cve: DSCD 13 PL 2
2019-07-22,5,,CORTES GENERALES DIARIO DE SESIONES DEL CONGRESO DE LOS DIPUTADOS PLENO Y DIPUTACIÓN PERMANENTE
2019-07-22,6,,"Año 2019 XIII LEGISLATURA Núm. 2 PRESIDENCIA DE LA EXCMA. SRA. D.ª MERITXELL BATET LAMAÑA Sesión plenaria núm. 2 celebrada el lunes, 22 de julio de 2019"
2019-07-22,7,,ORDEN DEL DÍA:
2019-07-22,8,,Juramento o promesa de acatamiento de la Constitución por nuevos señores diputados ...
2019-07-22,9,,"Debate sobre la investidura del candidato a la Presidencia del Gobierno. ""BOCG. Congreso de los Diputados"", serie D, número 13, de 21 de junio de 2019. (Número de expediente 080/000001) ..."
2019-07-22,11,,SUMARIO
2019-07-22,12,,Se abre la sesión a las doce del mediodía.
2019-07-22,13,,Juramento o promesa de acatamiento a la Constitución por nuevos señores diputados ...
2019-07-22,14,,"Las señoras doña María Jesús Bonilla Domínguez, doña Carina Mejías Sánchez, doña Cristina López Zamora y doña Elvira Velasco Morillo adquieren la condición plena de diputadas al prestar acatamiento a la Constitución."
2019-07-22,15,,Debate sobre la investidura del candidato a la Presidencia del Gobierno ...
2019-07-22,16,,El señor secretario (Pisarello Prados) da lectura de la propuesta de candidato a la Presidencia del Gobierno.
2019-07-22,17,,"El señor Sánchez Pérez Castejón, candidato a la Presidencia del Gobierno, comparece ante la Cámara para solicitar la confianza de la misma, según lo establecido en el artículo 99.1 de la Constitución."
2019-07-22,18,,"Explica que se dirige a la Cámara en nombre de la fuerza más votada en las elecciones generales para llevar a cabo el mandato de los ciudadanos que eligieron convivencia, cohesión y limpieza en la política, traslada una primera oferta de pacto de Estado para actualizar el artículo 99 de la Constitución y propone un Gobierno progresista, ecologista, feminista y europeísta."
2019-07-22,19,,Establece seis objetivos: el empleo digno y la sostenibilidad del sistema de pensiones; la revolución digital; la emergencia climática; la igualdad real y efectiva entre mujeres y hombres; la desigualdad social y el fortalecimiento de Europa manteniendo los valores que la fundamentan. Y facilita seis respuestas: pensiones dignas y un sistema sostenible; la transformación digital; la transición ecológica; el feminismo; la justicia social y una España unida y diversa en una Europa diversa y unida.
2019-07-22,20,,Hace un breve repaso de los últimos cuarenta años y señala los avances que se han logrado.
2019-07-22,21,,Señala que los seis retos expuestos hay que afrontarlos con urgencia y dentro de un contexto económico complejo.
2019-07-22,22,,Seguidamente detalla las medidas que propone para cada uno de los seis objetivos de legislatura.
2019-07-22,23,,"En cuanto al primero, el mercado laboral y las pensiones, detalla diez medidas transversales: un nuevo Estatuto de los Trabajadores que blinde derechos y regule las nuevas relaciones laborales; la incorporación de los jóvenes al mercado laboral; un plan estratégico de retorno para aquellos españoles que tuvieron que marcharse al extranjero; una ley de igualdad en nuestro mercado de trabajo; políticas activas de empleo para garantizar la formación continua; un plan director por el trabajo digno; mejora de las condiciones de trabajo de los autónomos; el apoyo a las empresas de la economía social; un pacto social y político para la racionalización de los horarios y un pacto de rentas para mejorar los niveles salariales de los trabajadores. Con la estabilidad y el empleo de calidad se consolidará el sistema de pensiones, donde el acuerdo político y el diálogo social, dentro del Pacto de Toledo, son indispensables. Plantea conciliar estos objetivos con la eliminación, en un horizonte de cinco años, del déficit del sistema de la Seguridad Social."
2019-07-22,24,,"En relación con el segundo, la revolución tecnológica, señala que es necesario avanzar en I+D+i y que promoverá la firma de una pacto de Estado por la ciencia; apoyará la transformación de nuestro tejido empresarial, de la industria y la cultura; facilitará la digitalización del sector público; aprobará el plan de ciberseguridad y apostará por la ciencia y el conocimiento con una nueva ley educativa."
2019-07-22,26,,"El tercero de los objetivos se refiere a la transición ecológica. Señala que hay que asegurar un modelo económico sostenible y propone actuar a nivel internacional, estatal, corporativo y ciudadano. Indica que es imprescindible vincular crecimiento sostenible y transición ecológica justa. Es necesario una movilidad sostenible, una rehabilitación energética y una lucha contra la contaminación en el ámbito urbano. Además esta transformación no solo ha de preservar nuestra riqueza ambiental, sino que ha de suponer una palanca de desarrollo y aportar un valor añadido a nuestra economía. Asimismo, es necesario controlar la escasez de recursos estratégicos. Con todo ello se pretende avanzar para que España esté a la vanguardia de la nueva ilustración medioambiental que marcará esta era de transformación."
2019-07-22,27,,El cuarto objetivo es el compromiso con la causa feminista y la defensa a ultranza de la igualdad. Señala diferentes actuaciones: aplicar el Pacto de Estado contra la Violencia de Género y tomar la iniciativa para que se avance en este sentido en la Unión Europea; eliminar la brecha salarial y equiparar los permisos de maternidad y paternidad; avanzar en la conciliación laboral y familiar; elaborar una ley de familias; evitar la discriminación y comprometerse con la diversidad.
2019-07-22,28,,"El quinto objetivo hace referencia a la libertad y la igualdad. Propone la subida del salario mínimo interprofesional, el fortalecimiento de rentas de inserción estables y la propuesta de un ingreso mínimo vital vinculado a la lucha contra la pobreza infantil. Insiste en la importación de la educación como base de la igualdad de oportunidades, y para ello va a fortalecer la educación pública como garantía de cohesión social. Detalla ayudas para los jóvenes y mejoras en los servicios sociales y sanitarios. Señala la importancia de la cohesión territorial y lo que contribuye a ella las infraestructuras. Ve necesario abordar la reforma del sistema de financiación autonómica, el reto demográfico y la lucha contra la despoblación."
2019-07-22,29,,"Y, por último, una Europa unida, con una política migratoria responsable y solidaria. Europa es un proyecto que nos cohesiona como país y como sociedad. Ofrece el compromiso de avanzar en la Europa social y en la elaboración de un auténtico presupuesto europeo. Además hemos de renovar nuestra presencia exterior y abrirnos al continente americano, Asia y África. Asimismo señala que es necesario defender la paz y la seguridad, lo que implica contar con los recursos adecuados."
2019-07-22,30,,"Para alcanzar estas metas es preciso avanzar en materia de derechos y libertades, en transparencia, rendición de cuenta y regeneración democrática. Y para ello pide el apoyo de la Cámara para que España tenga un Gobierno."
2019-07-22,31,,Se suspende la sesión a las dos de la tarde.
2019-07-22,32,,Se reanuda la sesión a las cuatro de la tarde.
2019-07-22,33,,El señor Casado Blanco interviene en nombre del Grupo Parlamentario Popular.
2019-07-22,34,,"Contesta el señor Sánchez Pérez Castejón, candidato a la Presidencia del Gobierno."
2019-07-22,35,,Replica el señor Casado Blanco y duplica el señor Sánchez Pérez Castejón.
2019-07-22,36,,Vuelven a hacer uso de la palabra los señores Casado Blanco y Sánchez Pérez Castejón.
2019-07-22,37,,El señor Rivera Díaz interviene en nombre del Grupo Parlamentario Ciudadanos.
2019-07-22,38,,"Contesta el señor Sánchez Pérez Castejón, candidato a la Presidencia del Gobierno."
2019-07-22,39,,Replica el señor Rivera Díaz y duplica el señor Sánchez Pérez Castejón.
2019-07-22,40,,Vuelven a hacer uso de la palabra los señores Rivera Díaz y Sánchez Pérez Castejón.
2019-07-22,41,,"Los señores Iglesias Turrión, Asens Llodrà y Garzón Espinosa y la señora Díaz Pérez intervienen en nombre del Grupo Parlamentario Confederal de Unidas Podemos En Comú Podem Galicia en Común."
2019-07-22,42,,"Contesta el señor Sánchez Pérez Castejón, candidato a la Presidencia del Gobierno."
2019-07-22,44,,Replica el señor Iglesias Turrión y duplica el señor Sánchez Pérez Castejón.
2019-07-22,45,,Vuelve a hacer uso de la palabra el señor Iglesias Turrión.
2019-07-22,46,,El señor Abascal Conde interviene en nombre del Grupo Parlamentario VOX.
2019-07-22,47,,"Contesta el señor Sánchez Pérez Castejón, candidato a la Presidencia del Gobierno."
2019-07-22,48,,Replica el señor Abascal Conde y duplica el señor Sánchez Pérez Castejón.
2019-07-22,49,,Vuelven a hacer uso de la palabra los señores Abascal Conde y Sánchez Pérez Castejón.
2019-07-22,50,,Se suspende la sesión a las ocho y cuarenta y cinco minutos de la noche.
2019-07-22,51,,Se abre la sesión a las doce del mediodía.
2019-07-22,52,,JURAMENTO O PROMESA DE ACATAMIENTO DE LA CONSTITUCIÓN POR NUEVOS SEÑORES DIPUTADOS.
2019-07-22,53,PRESIDENTA," Muy buenos días, señorías. Se abre la sesión. Con carácter previo al examen del orden del día, vamos a proceder al juramento o promesa de acatamiento de la Constitución conforme al artículo 20.1.3.º del Reglamento. En sustitución de don Rafael Catalá Polo, pregunto a doña María Jesús Bonilla Domínguez si jura o promete acatar la Constitución."
2019-07-22,54,BONILLA DOMÍNGUEZ," Sí, juro."
2019-07-22,55,PRESIDENTA," En sustitución de don Antonio Roldán Monés, pregunto a doña Carina Mejías Sánchez si jura o promete acatar la Constitución."
2019-07-22,56,MEJÍAS SÁNCHEZ," Sí, juro."
2019-07-22,57,PRESIDENTA," En sustitución de doña Blanca Fernández Morena, pregunto a doña Cristina López Zamora si jura o promete acatar la Constitución."
2019-07-22,58,LÓPEZ ZAMORA," Sí, prometo."
2019-07-22,59,PRESIDENTA," En sustitución de doña María Isabel Blanco Llamas, pregunto a doña Elvira Velasco Morillo si jura o promete acatar la Constitución."
2019-07-22,60,VELASCO MORILLO," Sí, juro."
2019-07-22,61,PRESIDENTA," Doña María Jesús Bonilla Domínguez, doña Carina Mejías Sánchez, doña Cristina López Zamora y doña Elvira Velasco Morillo han adquirido la condición plena de diputadas. Enhorabuena. (Aplausos). DEBATE SOBRE LA INVESTIDURA DEL CANDIDATO A LA PRESIDENCIA DEL GOBIERNO. (Número de expediente 080/000001).  Punto único del orden del día: Debate sobre la investidura del candidato a la Presidencia del Gobierno. Por el señor secretario primero de la Cámara se procede a la lectura de la propuesta de candidato a la Presidencia del Gobierno. Señor secretario primero, por favor."
2019-07-22,62,SECRETARIO (Pisarello Prados)," De acuerdo con lo establecido en el artículo 99.1 de la Constitución, tras celebrar consultas con los representantes designados por los grupos políticos con representación parlamentaria, vengo en proponer al excelentísimo señor don Pedro Sánchez Pérez Castejón como candidato a la Presidencia el Gobierno, lo que comunico a vuestra excelencia para que se formule al Congreso de los Diputados la oportuna propuesta. Palacio de la Zarzuela, 6 de junio de 2019. Felipe, rey. La presidenta del Congreso de los Diputados, Meritxell Batet Lamaña."
2019-07-22,63,PRESIDENTA," Muchas gracias. El señor Sánchez Pérez Castejón, candidato propuesto a la Presidencia del Gobierno, tiene la palabra. (Prolongados aplausos del Grupo Parlamentario Socialista)."
